line_num, word, mean, line_num2, word2, sent, sent_mean,
31,apprehensive,"걱정하는, 염려하는",31,apprehensive,He is apprehensive about the new project.,그는 새 프로젝트에 대해 염려하고 있다.,
32,consultant,"고문, 컨설턴트",32,consultant,She works as a marketing consultant.,그녀는 마케팅 컨설턴트로 일한다.,
33,entitle,자격을 주다,33,entitle,This ticket entitles you to a free meal.,이 티켓은 당신에게 무료 식사를 제공할 자격을 준다.,
34,degree,학위,34,degree,He earned his degree in engineering.,그는 공학 학위를 받았다.,
35,payroll,"임금대장, 금료명부",35,payroll,The new employees were added to the payroll.,새 직원들이 급여명부에 추가되었다.,
36,recruit,(신입사원등을)모집하다,36,recruit,The army continues to recruit volunteers.,군대는 계속해서 자원병을 모집한다.,
37,certification,"증명서, 증명",37,certification,She received her certification last week.,그녀는 지난 주에 그녀의 증명서를 받았다.,
38,occupation,직업,38,occupation,His occupation is a web designer.,그의 직업은 웹 디자이너이다.,
39,wage,"임금, 급료",39,wage,They are fighting for better wages.,그들은 더 나은 임금을 위해 싸우고 있다.,
40,attire,"복장, 옷차림새",40,attire,Proper attire is required at the event.,행사에서는 적절한 복장이 요구된다.,
41,code,"규범, 관례;암호",41,code,The company has a strict dress code.,회사에는 엄격한 복장 규정이 있다.,
42,concern,"우려, 걱정, 문제, 일, ~을 걱정스럽게 하다; 영향을 미치다, 관련되다.",42,concern,Environmental issues are a major concern nowadays.,환경 문제는 요즘 주요 걱정거리이다.,
43,policy,"규정; 보험, 증권",43,policy,The refund policy has been updated.,환불 정책이 갱신되었다.,
44,comply,"준수하다, 따르다",44,comply,We must comply with the new regulations.,우리는 새로운 규정을 준수해야 한다.,
45,regulation,규정,45,regulation,Safety regulations are important in the workplace.,안전 규정은 직장에서 중요하다.,
46,exception,예외,46,exception,There are no exceptions to this rule.,이 규칙에는 예외가 없다.,
47,adhere,"지키다, 고수하다",47,adhere,It is crucial to adhere to the guidelines.,지침을 준수하는 것이 매우 중요하다.,
48,severely,"엄격하게, 심하게",48,severely,The town was severely affected by the storm.,그 마을은 폭풍으로 심하게 영향을 받았다.,
49,refrain,"자제하다, 삼가다",49,refrain,Please refrain from smoking in this area.,이 지역에서는 흡연을 삼가 해 주세요.,
50,permission,"허락, 허가",50,permission,You need permission to access these files.,이 파일들에 접근하려면 허가가 필요하다.,
51,access,"이용권한, 접근;통로, ~에 접근하다, 도달하다",51,access,The system provides easy access to all employees.,시스템은 모든 직원에게 쉬운 접근을 제공한다.,
52,thoroughly,"철저하게, 완전히, 대단히",52,thoroughly,He thoroughly checked the report for errors.,그는 보고서의 오류를 철저히 확인했다.,
53,revise,"(의견, 계획을)수정하다, 변경하다",53,revise,The plans were revised after the feedback.,피드백 후에 계획이 수정되었다.,
54,approach,"접근법, 처리방법",54,approach,We need a new approach to solve this issue.,이 문제를 해결하기 위해 새로운 접근법이 필요하다.,
55,approval,"승인, 인가",55,approval,The project is pending approval from the board.,프로젝트는 이사회의 승인을 기다리고 있다.,
56,form,"종류, 유형, 양식",56,form,Please fill out the application form.,신청서를 작성해 주세요.,
57,immediately,"즉시, 곧",57,immediately,The problem needs to be addressed immediately.,문제를 즉시 해결해야 한다.,
58,inspection,"점검, 검사",58,inspection,The building will undergo a safety inspection.,건물은 안전 검사를 받게 될 것이다.,
59,arrangement,"준비, 마련, 주선",59,arrangement,We made special arrangements for the guests.,우리는 손님들을 위해 특별한 준비를 했다.,
60,procedure,절차,60,procedure,Follow the procedure carefully.,절차를 주의 깊게 따르세요.,
61,negative,"부정적인, 비관적인",61,negative,His negative attitude affects the whole team.,그의 부정적인 태도가 전체 팀에 영향을 미친다.,
62,mandate,"명령하다, 지시하다, 권한, 지시, 명령",62,mandate,The government mandate requires compliance.,정부의 명령은 준수를 요구한다.,
63,effect,"(법률등의)효력, 효과, 영향, 결과로서 ~을 가져오다",63,effect,The new law came into effect last month.,새 법이 지난달에 효력을 발휘했다.,
64,drastically,"심하게, 과감하게, 철저하게",64,drastically,Prices have dropped drastically.,가격이 급격히 떨어졌다.,
65,according to,~에 따라,65,according to,"According to the report, sales have increased.","보고서에 따르면, 판매량이 증가했다.",
66,enable,(무엇을)가능하게 하다,66,enable,This feature enables faster processing.,이 기능은 더 빠른 처리를 가능하게 한다.,
67,standard,"기준, 표준",67,standard,We must meet the industry standards.,우리는 업계 표준을 충족해야 한다.,
68,constant,"지속적인, 끊임없이 계속하는",68,constant,He is in constant communication with the team.,그는 팀과 끊임없이 소통하고 있다.,
69,act,"법령, 결의서; 행위, 행동, 결정하다, 판결을 내리다, 행동하다",69,act,Congress will act on the proposal.,의회는 제안에 대해 조치를 취할 것이다.,
70,compensation,"보상금, 보상",70,compensation,He received compensation for his injuries.,그는 부상에 대한 보상을 받았다.,
71,ban,"금지, 금지하다",71,ban,The city has placed a ban on smoking in public.,도시는 공공장소에서의 흡연을 금지했다.,
72,obligation,"의무, 책임",72,obligation,You have an obligation to pay your taxes.,당신은 세금을 납부할 의무가 있다.,
73,authorize,"~을 인가하다, 권한을 부여하다.",73,authorize,The manager authorized the payment.,관리자가 지불을 승인했다.,
74,prohibit,금지하다,74,prohibit,The law prohibits texting while driving.,법은 운전 중 문자 메시지를 보내는 것을 금지한다.,
75,abolish,"(제도, 법률등을)폐지하다",75,abolish,The practice was abolished years ago.,그 관행은 몇 년 전에 폐지되었다.,
76,enforce,"(법률을)시행하다, 집행하다",76,enforce,The police enforce the law to maintain order.,경찰은 질서 유지를 위해 법을 집행한다.,
77,habit,"습관, 버릇",77,habit,He has a habit of jogging every morning.,그는 매일 아침 조깅하는 습관이 있다.,
78,lagislation,"법률, 법규",78,legislation,New legislation will affect how businesses operate.,새 법규가 기업들의 운영 방식에 영향을 미칠 것이다.,
79,restrict,"한정하다, 제한하다",79,restrict,The new rules restrict smoking in public areas.,새 규칙은 공공 장소에서 흡연을 제한한다.,
80,accustomed,익숙한,80,accustomed,She quickly became accustomed to the new system.,그녀는 빠르게 새 시스템에 익숙해졌다.,
81,corporatiion,"주식회사, 법인",81,corporation,He works for a multinational corporation.,그는 다국적 주식회사에서 일한다.,
82,demanding,"요구가 많은, 힘든",82,demanding,The job is quite demanding.,그 일은 매우 요구가 많다.,
83,colleague,동료,83,colleague,I will consult with my colleague about the project.,나는 그 프로젝트에 대해 동료와 상의할 것이다.,
84,division,부서,84,division,She was promoted to head of the division.,그녀는 부서의 책임자로 승진했다.,
85,request,"요청, 요청하다",85,request,He made a request for additional resources.,그는 추가 자원을 요청했다.,
86,efficiently,효율적으로,86,efficiently,The team works efficiently under pressure.,팀은 압박 속에서도 효율적으로 일한다.,
87,manage,~을 경영하다; 가까스로 하다,87,manage,She manages a team of twenty people.,그녀는 20명의 팀을 경영한다.,
88,submit,제출하다,88,submit,Please submit the report by Friday.,보고서를 금요일까지 제출해 주세요.,
89,directly,곧바로,89,directly,He reported the issue directly to the CEO.,그는 문제를 CEO에게 직접 보고했다.,
90,remind,"~에게 상기시키다, 일깨우다",90,remind,This song reminds me of my childhood.,이 노래는 나에게 어린 시절을 상기시킨다.,
91,instruct,"지시하다, 가르치다",91,instruct,The teacher instructed the students to open their books.,선생님은 학생들에게 책을 펴도록 지시했다.,
92,deadline,"마감일, 마감 시간",92,deadline,The deadline for the submission is next Monday.,제출 마감일은 다음 월요일이다.,
93,sample,"견본, 샘플, 표본
시식하다, (견본으로 질을)시험하다",93,sample,They offered free samples of the new product.,그들은 새 제품의 무료 샘플을 제공했다.,
94,notify,"~에게 통지하다, 알리다",94,notify,Notify me when you arrive.,도착하면 나에게 알려 주세요.,
95,perform,"행하다, 실행하다",95,perform,The orchestra will perform Beethoven's Symphony No. 5.,오케스트라는 베토벤의 교향곡 5번을 연주할 것이다.,
96,monitor,"감독하다, 감시하다, 실행하다",96,monitor,It's important to monitor the progress of the project.,프로젝트 진행 상황을 모니터하는 것이 중요하다.,
97,deserve,"~할 만하다, ~할 가치가 있다",97,deserve,She deserves recognition for her efforts.,그녀는 그녀의 노력에 대한 인정을 받을 자격이 있다.,
98,assignment,"일, 임무, 과제",98,assignment,He completed his assignment on time.,그는 그의 과제를 시간 내에 완료했다.,
99,entire,전체의,99,entire,The entire team was excited about the success.,전체 팀이 성공에 대해 흥분했다.,
100,release,"발표하다, 공개하다, 출시, 발매",100,release,They plan to release the new software next week.,그들은 다음 주에 새 소프트웨어를 출시할 계획이다.,
101,extension,"연장, 연기; (전화의)내선",101,extension,Can I have an extension on the project deadline?,프로젝트 마감 기한을 연장받을 수 있을까요?,
102,electronically,"컴퓨터 통신망으로, 컴퓨터로",102,electronically,Documents were sent electronically to speed up the process.,문서들이 과정을 가속화하기 위해 전자적으로 보내졌다.,
103,attendance,"출석, 출근",103,attendance,His attendance at the meetings has improved.,그의 회의 참석률이 향상되었다.,
104,absolutely,"절대적으로, 완전히",104,absolutely,I absolutely agree with your plan.,나는 당신의 계획에 완전히 동의한다.,
105,delegate,(권한등을)위임하다. 대표,105,delegate,She delegated the task to her assistant.,그녀는 그 임무를 그녀의 보조에게 위임했다.,
106,attentively,"주의 깊게, 조심스럽게",106,attentively,He listened attentively to the lecture.,그는 강의를 주의 깊게 들었다.,
107,supervision,감독,107,supervision,The work was done under the supervision of an expert.,그 일은 전문가의 감독 하에 이루어졌다.,
108,workshop,"워크숍, 연수",108,workshop,We attended a workshop on digital marketing.,우리는 디지털 마케팅에 대한 워크숍에 참석했다.,
109,draw,"끌다, 끌어당기다",109,draw,The artist will draw a portrait of her.,그 예술가는 그녀의 초상화를 그릴 것이다.,
110,revision,"수정, 개정",110,revision,The document requires further revision.,그 문서는 추가 수정이 필요하다.,
111,reluctantly,"마지못해, 꺼려하여",111,reluctantly,She reluctantly agreed to attend the meeting.,그녀는 마지못해 회의에 참석하기로 동의했다.,
112,acquaint,"~에게 숙지시키다, 잘 알게 하다",112,acquaint,I need to acquaint you with our company's policies.,우리 회사의 정책에 대해 당신을 숙지시켜야 해요.,
113,convey,(용건을)전달하다,113,convey,Can you convey this message to the manager for me?,이 메시지를 매니저에게 전달해 줄 수 있나요?,
114,check,"검사하다, 조사하다, 확인하다",114,check,Please check the accuracy of these figures.,이 숫자들의 정확성을 확인해 주세요.,
115,headquarters,본부,115,headquarters,The company's headquarters is located in New York.,회사의 본부는 뉴욕에 있습니다.,
116,file,"(서류를)정리하다, 철하다;
(서류, 신청, 고소 등을)정식으로 제기하다, 제출하다",116,file,He needs to file his taxes by the end of the month.,그는 이번 달 말까지 세금을 신고해야 합니다.,
117,oversee,"감독하다 (foresee예견하다, oversea해외의)",117,oversee,The project manager oversees the progress of the project.,프로젝트 매니저가 프로젝트 진행 상황을 감독합니다.,
118,involved,"관여하는, 관계된, 연루된",118,involved,She is deeply involved in the community activities.,그녀는 지역 사회 활동에 깊게 관여하고 있습니다.,
119,concentrate,"집중하다, 집중시키다",119,concentrate,It's hard to concentrate when there's so much noise.,소음이 많을 때 집중하기 어렵습니다.,
120,lax,"(행동 등이)느슨한, 규율에 못 미치는",120,lax,We cannot afford to be lax about security measures.,우리는 보안 조치에 대해 느슨할 여유가 없습니다.,
121,procrastinate,"미루다, 꾸물거리다",121,procrastinate,"If you procrastinate, you'll never finish your work.",미루다 보면 일을 마치지 못할 거예요.,
122,combined,"결합된, 합동의",122,combined,The two companies have combined their resources for the project.,두 회사는 프로젝트를 위해 자원을 결합했습니다.,
123,accomplish,성취하다,123,accomplish,It took years to accomplish this task.,이 작업을 완료하는 데 몇 년이 걸렸습니다.,
124,voluntarily,자발적으로,124,voluntarily,He volunteered to help with the charity event.,그는 자발적으로 자선 행사를 돕기로 했습니다.,
125,undertake,(일을)떠맡다,125,undertake,The company will undertake the construction of the new building.,회사가 새 건물 건설을 맡을 것입니다.,
126,assume,"(증거는 없으나)사실이라고 생각하다;
(책임,역할을)맡다",126,assume,Let's not assume anything until we have all the facts.,우리가 모든 사실을 알 때까지는 가정하지 말아요.,
127,occasionally,"가끔, 때때로",127,occasionally,I occasionally meet with my old friends for coffee.,가끔 나는 친구들과 커피를 마시러 만납니다.,
128,employee,"직원, 고용인",128,employee,The company hired a new employee for the marketing department.,회사는 마케팅 부서에 새 직원을 고용했습니다.,
129,assist,"돕다, 조력하다",129,assist,Can you assist me with this project?,이 프로젝트를 도와 줄 수 있나요?,
130,satisfied,"만족하는, 만족스러워하는",130,satisfied,I am satisfied with the outcome of the negotiation.,나는 협상 결과에 만족합니다.,
131,manner,"방식, 태도",131,manner,She spoke to me in a very rude manner.,그녀는 나에게 매우 무례한 태도로 말했습니다.,
132,responsible,"책임이 있는, 책임져야 할",132,responsible,"As the team leader, you are responsible for the project's success.",팀 리더로서 당신은 프로젝트의 성공에 책임이 있습니다.,
133,conduct,(업무 등을)수행하다,133,conduct,The police will conduct an investigation into the matter.,경찰은 그 문제에 대한 조사를 진행할 것입니다.,
134,adjust,적응하다,134,adjust,You need to adjust the settings on your computer.,컴퓨터 설정을 조정해야 합니다.,
135,personnel,"(집합적)직원, 인원; 인사과",135,personnel,The personnel department handles all employee matters.,인사부가 모든 직원 문제를 처리합니다.,
136,agree,동의하다,136,agree,We all agree that the proposal needs further review.,우리는 모두 그 제안이 더 심사가 필요하다고 동의합니다.,
137,supervise,"감독하다, 지도하다",137,supervise,The teacher will supervise the students during the experiment.,선생님은 실험 중에 학생들을 감독할 것입니다.,
138,coworker,"동료, 협력자",138,coworker,My coworker and I are collaborating on a new project.,나와 내 동료는 새로운 프로젝트를 협업하고 있습니다.,
139,direct,"~에게 길을 안내하다, 가르쳐 주다",139,direct,Please direct all inquiries to our customer service department.,모든 문의 사항은 고객 서비스 부서로 연결해 주세요.,
140,confidential,"기밀의, 내밀한",140,confidential,The contents of this file are strictly confidential.,이 파일의 내용은 엄격하게 기밀입니다.,
141,assign,"배정하다, 할당하다",141,assign,I will assign you to a new project starting next week.,다음 주부터 당신을 새 프로젝트에 배정할 것입니다.,
142,leading,"선도적인, 일류의, 가장 중요한, 선두적인",142,leading,Our company is a leading provider of innovative solutions.,우리 회사는 혁신적인 솔루션의 선도 공급자입니다.,
143,formal,격식을 갖춘,143,formal,The event requires formal attire.,이 이벤트는 격식을 갖춘 의복,
144,remove,"해임하다, 제거하다",144,remove,Please remove your shoes before entering the house.,집에 들어가기 전에 신발을 벗어 주세요.,
145,collect,모으다,145,collect,We need to collect data for our research project.,연구 프로젝트를 위해 데이터를 수집해야 합니다.,
146,coordinate,조정하다,146,coordinate,The team needs to coordinate their efforts to meet the deadline.,팀은 마감일을 맞추기 위해 노력을 조율해야 합니다.,
147,hardly,거의~하지않다,147,hardly,I hardly ever go to the gym anymore.,나는 더 이상 거의 체육관에 가지 않는다.,
148,abstract,"추상적인, 막연한",148,abstract,The concept of love is too abstract for some people to grasp.,사랑이라는 개념은 일부 사람들에게는 너무 추상적이어서 이해하기 어렵습니다.,
149,directory,주소록,149,directory,The telephone directory lists all the residents in the area.,전화번호부에는 지역 주민들의 모든 번호가 나와 있습니다.,
150,accountable,책임이 있는,150,accountable,"As the team leader, you are accountable for the project's success.",팀 리더로서 당신은 프로젝트의 성공에 책임이 있습니다.,
151,skillfully,"능숙하게, 솜씨있게",151,skillfully,He skillfully navigated through the crowded streets.,그는 붐비는 거리를 능숙하게 헤쳐 나갔다.,
152,exclusive,"독점적인, 배타적인",152,exclusive,The club is exclusive and only admits members by invitation.,이 클럽은 독점적이며 초대장으로만 회원을 받습니다.,
153,intention,"의지, 의향",153,intention,I have no intention of causing any trouble.,나는 어떤 문제도 일으키려는 의도가 없습니다.,
154,transform,"바꾸다, 변모시키다",154,transform,The caterpillar will transform into a butterfly.,애벌레는 나비로 변할 것입니다.,
155,respectful,"정중한, 존중하는",155,respectful,It's important to be respectful towards your elders.,연장자에게 정중해야 하는 것이 중요합니다.,
156,duplicate,사본,156,duplicate,Please make a duplicate copy of this document.,이 문서의 사본을 만들어 주세요.,
157,contrary,반대,157,contrary,His actions are contrary to his words.,그의 행동은 그의 말과 반대입니다.,
158,disturbing,"충격적인, 불안감을 주는, 방해하는",158,disturbing,The news of the accident was very disturbing.,사고 소식이 매우 불안감을 주었습니다.,
159,engage,"관여하다, 종사하다",159,engage,We need to engage with our customers on social media.,우리는 소셜 미디어에서 고객들과 소통해야 합니다.,
160,foster,"촉진하다, 육성하다",160,foster,The organization aims to foster a sense of community among its members.,그 조직은 회원들 사이에 공동체 의식을 육성하는 것을 목표로 합니다.,
161,neutrality,"중립성, 중립",161,neutrality,The country declared its neutrality in the conflict.,그 나라는 그 분쟁에서의 중립을 선언했습니다.,
162,widely,널리,162,widely,The news of his resignation spread widely.,그의 사임 소식이 널리 퍼졌습니다.,
163,sophisticated,"(기계가)정교한, 복잡한; 세련된",163,sophisticated,The new smartphone has a more sophisticated camera system.,새로운 스마트폰은 더 정교한 카메라 시스템을 갖추고 있습니다.,
164,timely,"시기적절한, 때를 맞춘",164,timely,It's important to provide timely feedback on performance.,성과에 대한 적시적인 피드백을 제공하는 것이 중요합니다.,
165,realistically,현실적으로,165,realistically,We need to assess the situation realistically.,우리는 상황을 현실적으로 평가해야 합니다.,
166,promptly,즉시; 정각에,166,promptly,Please respond to the email promptly.,이메일에 신속하게 회신해 주세요.,
167,accessible,출입할 수 있는; 이용할 수 있는,167,accessible,The website should be accessible to people with disabilities.,웹사이트는 장애인들에게 접근할 수 있어야 합니다.,
168,implement,"실시하다, 실행하다",168,implement,The company plans to implement new safety measures.,회사는 새로운 안전 조치를 시행할 계획입니다.,
169,feedback,"의견, 반응",169,feedback,We value your feedback on our products.,우리는 당신의 제품에 대한 의견을 소중히 여깁니다.,
170,outstanding,우수한; (부채 등이)미지불된,170,outstanding,She received an award for her outstanding performance.,그녀는 탁월한 성과로 상을 받았습니다.,
171,inform,~에게 알리다,171,inform,Please inform me of any changes to the schedule.,일정 변경 사항을 나에게 알려 주세요.,
172,replacement,"교체, 후임자",172,replacement,We need to find a replacement for the broken equipment.,고장 난 장비의 대체품을 찾아야 합니다.,
173,announcement,"공고, 발표",173,announcement,The company made an announcement about the new policy.,회사가 새로운 정책에 관한 공고를 발표했습니다.,
174,department,"(조직, 기구의)부서",174,department,She works in the marketing department.,그녀는 마케팅 부서에서 일합니다.,
175,permanently,"영구적으로, 불변으로",175,permanently,The stain won't come out of the fabric permanently.,그 얼룩은 영구적으로 옷에서 사라지지 않을 것입니다.,
176,fulfill,"(조건을)만족시키다, (약속, 의무등을)지키다, 이행하다",176,fulfill,The company aims to fulfill its promises to customers.,회사는 고객에게 한 약속을 이행하기 위해 노력합니다.,
177,outline,"개요, 설명하다, 약술하다",177,outline,Let me outline the main points of the presentation.,발표의 주요 내용을 개요로 설명해 드릴게요.,
178,explain,설명하다,178,explain,Can you explain this concept to me in simpler terms?,이 개념을 더 간단한 용어로 설명해 줄 수 있나요?,
179,contain,포함하다,179,contain,The box contains all the necessary parts.,상자 안에는 필요한 모든 부품이 들어 있습니다.,
180,compile,(자료 등을)편집하다; 모으다,180,compile,We need to compile a list of potential candidates.,우리는 잠재적인 후보자 목록을 편성해야 합니다.,
181,subsequent,"차후의, 그 다음의",181,subsequent,The subsequent chapters delve deeper into the topic.,차후 장들에서는 주제를 더 깊이 다룰 것입니다.,
182,overview,"개요, 개관",182,overview,Let me give you an overview of the project.,프로젝트 개요를 설명해 드릴게요.,
183,provider,"공급자, 제공자",183,provider,The company is a leading provider of IT services.,그 회사는 주요 IT 서비스 공급자입니다.,
184,matter,"문제, 일",184,matter,The matter requires immediate attention.,그 문제는 즉각적인 주의를 요합니다.,
185,expertise,"전문지식, 전문기술",185,expertise,He is known for his expertise in financial matters.,그는 재정 문제에 대한 전문 지식으로 유명합니다.,
186,demonstrate,"증명하다; (모형, 실험등으로)설명하다",186,demonstrate,The scientist will demonstrate the experiment to the students.,과학자가 학생들에게 실험을 시연할 것입니다.,
187,remainder,나머지,187,remainder,Please divide the remainder of the cake among yourselves.,케이크의 나머지를 자신들 사이에 나눠 주세요.,
188,essential,"필수적인, 극히 중요한, 본질적인",188,essential,Good communication skills are essential for this job.,좋은 커뮤니케이션 기술은 이 직종에 꼭 필요합니다.,
189,divide,"분배하다, 나누다",189,divide,Let's divide the tasks evenly among the team members.,팀원들 사이에 업무를 골고루 나눠 보자.,
190,major,"주요한, 중대한",190,major,She made a major contribution to the project's success.,그녀는 프로젝트의 성공에 큰 공헌을 했습니다.,
191,compliance,"(명령, 법규에의)준수",191,compliance,The company operates in compliance with all regulations.,회사는 모든 규정을 준수하여 운영됩니다.,
192,clarify,명확하게 하다,192,clarify,Could you clarify your statement for me?,당신의 발언을 명확히 해 줄 수 있나요?,
193,face,"(문제 등에)직면하다; 향하다, 마주보다",193,face,We need to face the challenges head-on.,우리는 도전에 직면해야 합니다.,
194,follow,~을 따라가다; 주시하다; (분명히)이해하다,194,follow,It's important to follow the instructions carefully.,지시 사항을 주의 깊게 따르는 것이 중요합니다.,
195,aspect,"관점, 국면",195,aspect,Let's consider every aspect of the problem before deciding.,결정하기 전에 문제의 모든 측면을 고려해 봅시다.,
196,apparently,"보기에 ~한 듯한, 외관상으로는",196,apparently,"Apparently, there was a misunderstanding.",보아하니 오해가 있었던 것 같습니다.,
197,aware,"알고 있는, 인식하고 있는",197,aware,Are you aware of the risks involved?,당신은 관련된 위험을 알고 있나요?,
198,extended,"(기간 등을)연장한, 장기간에 걸친",198,extended,The extended version of the film includes additional scenes.,영화의 확장판에는 추가적인 장면이 포함되어 있습니다.,
199,accidentally,"뜻하지 않게, 우연히",199,accidentally,She accidentally spilled coffee on her shirt.,그녀는 실수로 커피를 셔츠에 쏟았습니다.,
200,advisable,"바람직한, 합당한",200,advisable,It's advisable to wear a helmet while riding a bike.,자전거를 탈 때 헬멧을 착용하는 것이 좋습니다.,
201,concerned,"염려하는, 걱정하는; 관련된",201,concerned,The company is concerned about its declining sales.,회사는 매출 하락에 대해 걱정하고 있습니다.,
202,speak,이야기 하다,202,speak,I need to speak with the manager about this issue.,이 문제에 대해 매니저와 이야기해야 합니다.,
203,collection,"소장품, 수집물; 징수, 수금",203,collection,The museum has an extensive collection of artwork.,박물관에는 다양한 미술 작품이 소장되어 있습니다.,
204,exhibition,전시회,204,exhibition,The artist's paintings are on display at the art exhibition.,예술가의 그림들이 미술 전시회에서 전시되고 있습니다.,
205,celebrity,"유명인사, 명사",205,celebrity,The celebrity arrived at the event with much fanfare.,그 유명인사가 큰 환호 속에 이벤트에 도착했습니다.,
206,live,"(라디오, TV가)생방송인",206,live,The concert will be broadcast live on television.,콘서트는 텔레비전으로 생중계될 예정입니다.,
207,improvise,"(연주, 연설 등을)즉흥적으로 하다, 즉석에서 만들다.",207,improvise,She had to improvise a speech when the teleprompter failed.,프롬프터가 고장나서 그녀는 연설을 즉흥적으로 해야 했습니다.,
208,popular,인기있는,208,popular,The movie was popular among teenagers.,그 영화는 십대들 사이에서 인기가 있었습니다.,
209,donation,"기증, 기부",209,donation,The charity received a generous donation from a local business.,그 자선 단체는 지역 기업으로부터 풍성한 기부를 받았습니다.,
210,alumni,"동창생들, 졸업생들",210,alumni,The alumni association organizes events for former students.,동문 회는 졸업생들을 위한 행사를 조직합니다.,
211,present,"제시하다, 현재의, 참석한",211,present,Please be present for the meeting tomorrow.,내일 회의에 참석해 주세요.,
212,admission,입장,212,admission,Admission to the museum is free for children under 12.,박물관 입장은 12세 미만 어린이에게 무료입니다.,
213,banquet,"연회, 만찬",213,banquet,The company hosted a banquet to celebrate its anniversary.,회사는 기념일을 축하하기 위해 연회를 열었습니다.,
214,anniversary,기념일,214,anniversary,They celebrated their 25th wedding anniversary last month.,그들은 지난 달에 25주년 결혼 기념일을 축하했습니다.,
215,required,"필수의, 의무적인",215,required,The assignment is required to be completed by Friday.,그 과제는 금요일까지 완료되어야 합니다.,
216,succeed,"성공하다, 뒤를 잇다",216,succeed,She means to succeed.,그녀는 성공할 작정이다.,
217,rest,"쉬다,휴식, 나머지",217,rest,The doctor told me to rest.,의사가 나에게 휴식을 취하라고 했다.,
218,fund-raising,모금,218,fund-raising,The charity is hosting a fund-raising event next week.,그 자선 단체는 다음 주에 모금 행사를 개최합니다.,
219,resume,"재개하다, 다시 시작하다",219,resume,Let's resume the meeting after lunch.,점심 후에 회의를 재개합시다.,
220,issue,"(출판물의)제 ~호; 문제, 쟁점",220,issue,It's important to address this issue.,이 문제를 해결하는 것이 중요하다.,
